Date,Product_ID,Units_Sold,Inventory_Level,Unit_Price,Fuel_Price_Index,Weather_Condition,Shipping_Delay_Days,Lead_Time_Days,Delay_Risk
2025-02-21,3,268,539,21.5,1.0,4,3,9,True
2025-02-22,3,298,426,20.78,1.36,0,4,6,True
2025-02-23,4,295,588,29.98,1.12,2,0,9,False
2025-02-24,2,21,686,30.51,1.19,2,6,3,True
2025-02-25,0,107,560,32.12,1.19,2,1,5,False
2025-02-26,3,149,853,53.44,1.42,2,0,4,False
2025-02-27,1,97,309,40.56,1.05,0,1,7,False
2025-02-28,3,279,273,11.02,1.33,2,3,5,True
2025-03-01,1,260,538,35.95,1.49,0,2,3,False
2025-03-02,1,160,839,48.12,1.01,0,6,9,True
2025-03-03,3,247,389,12.82,1.48,2,2,5,False
2025-03-04,4,182,458,31.13,1.01,1,1,3,False
2025-03-05,1,255,732,32.56,1.42,0,5,6,True
2025-03-06,1,147,633,57.7,1.48,2,6,6,True
2025-03-07,3,219,360,33.78,1.5,3,0,5,False
2025-03-08,1,50,68,47.5,1.23,3,2,8,False
2025-03-09,1,157,582,25.15,1.43,4,0,8,False
2025-03-10,3,40,661,48.97,1.06,0,4,5,True
2025-03-11,3,253,698,26.13,1.21,0,0,9,False
2025-03-12,0,221,430,31.5,1.15,3,5,7,True
2025-03-13,4,298,884,33.97,1.2,0,4,8,True
2025-03-14,4,150,757,56.32,1.35,0,4,3,True
2025-03-15,1,167,707,12.67,1.04,3,2,6,False
2025-03-16,4,48,31,19.84,1.5,2,4,7,True
2025-03-17,1,181,978,45.29,1.32,3,0,5,False
2025-03-18,0,80,620,38.88,1.44,1,6,7,True
2025-03-19,3,144,864,22.58,1.41,3,3,3,True
2025-03-20,3,90,512,24.46,1.38,3,5,3,True
2025-03-21,3,262,181,28.37,1.02,2,0,5,False
2025-03-22,4,268,685,32.52,1.26,3,1,9,False
2025-03-23,0,240,680,50.9,1.16,3,6,4,True
2025-03-24,4,40,247,10.69,1.06,2,1,7,False
2025-03-25,4,101,619,54.9,1.17,3,0,2,False
2025-03-26,0,29,881,30.65,1.32,2,1,3,False
2025-03-27,0,31,296,21.52,1.12,1,3,6,True
2025-03-28,0,282,775,35.42,1.22,2,1,8,False
2025-03-29,0,164,927,42.98,1.2,0,2,7,False
2025-03-30,3,211,29,12.24,1.03,0,6,2,True
2025-03-31,2,269,301,45.79,1.31,2,6,3,True
2025-04-01,2,133,475,48.04,1.31,3,6,7,True
2025-04-02,0,45,872,18.31,1.48,4,3,4,True
2025-04-03,2,290,947,18.39,1.15,4,6,2,True
2025-04-04,2,52,351,20.19,1.21,1,2,6,False
2025-04-05,0,81,984,49.83,1.2,1,2,9,False
2025-04-06,2,248,481,23.6,1.46,4,6,2,True
2025-04-07,4,114,316,49.8,1.2,4,3,7,True
2025-04-08,1,54,736,37.03,1.22,2,5,8,True
2025-04-09,1,212,396,48.36,1.13,4,2,5,False
2025-04-10,0,95,88,37.68,1.0,0,1,9,False
2025-04-11,3,268,233,26.79,1.06,1,0,3,False
2025-04-12,0,102,167,55.54,1.35,1,3,8,True
2025-04-13,3,44,742,45.76,1.34,0,6,5,True
2025-04-14,1,76,125,34.2,1.16,1,0,4,False
2025-04-15,0,51,572,41.87,1.24,4,3,2,True
2025-04-16,4,31,119,40.79,1.15,1,3,5,True
2025-04-17,2,111,427,27.91,1.37,0,2,9,False
2025-04-18,3,20,189,31.19,1.42,1,0,4,False
2025-04-19,2,155,632,25.91,1.45,4,5,5,True
2025-04-20,2,215,427,59.98,1.09,2,6,6,True
2025-04-21,0,152,559,39.0,1.35,4,1,5,False
2025-04-22,2,105,201,14.6,1.48,1,0,3,False
2025-04-23,4,298,58,35.96,1.33,3,3,9,True
2025-04-24,2,199,696,12.5,1.18,1,1,7,False
2025-04-25,0,23,222,24.43,1.32,1,2,5,False
2025-04-26,4,145,491,32.3,1.34,0,1,5,False
2025-04-27,1,194,10,36.71,1.2,3,1,5,False
2025-04-28,2,270,792,58.81,1.05,0,0,8,False
2025-04-29,0,40,700,59.11,1.3,0,3,5,True
2025-04-30,1,124,511,14.9,1.4,4,3,5,True
2025-05-01,1,85,813,36.91,1.5,2,3,2,True
2025-05-02,3,282,309,50.86,1.11,1,4,2,True
2025-05-03,4,68,748,21.89,1.35,3,2,7,False
2025-05-04,2,35,33,47.53,1.01,1,0,8,False
2025-05-05,0,164,339,53.93,1.48,0,3,6,True
2025-05-06,3,269,646,43.12,1.01,2,1,2,False
2025-05-07,4,94,480,26.39,1.18,0,4,4,True
2025-05-08,3,85,573,56.16,1.04,1,2,3,False
2025-05-09,4,144,824,54.18,1.31,4,3,5,True
2025-05-10,4,106,738,45.79,1.17,1,4,5,True
2025-05-11,2,60,92,28.18,1.37,0,6,5,True
2025-05-12,4,205,627,49.59,1.24,3,2,6,False
2025-05-13,3,285,843,25.81,1.21,3,5,6,True
2025-05-14,4,290,132,22.65,1.17,3,5,4,True
2025-05-15,2,61,843,35.75,1.04,3,1,8,False
2025-05-16,2,112,988,59.86,1.1,3,6,9,True
2025-05-17,3,204,418,50.22,1.32,2,4,5,True
2025-05-18,1,234,467,46.49,1.25,2,0,9,False
2025-05-19,1,36,804,32.6,1.04,4,6,6,True
2025-05-20,4,284,443,25.6,1.27,3,2,5,False
2025-05-21,0,133,704,52.8,1.03,0,4,2,True
2025-05-22,4,67,911,38.39,1.26,0,4,5,True
2025-05-23,3,116,29,50.66,1.48,1,2,4,False
2025-05-24,3,114,968,34.39,1.15,3,4,4,True
2025-05-25,3,93,297,47.7,1.36,0,4,6,True
2025-05-26,3,87,60,53.39,1.37,4,2,5,False
2025-05-27,3,265,457,29.57,1.2,0,6,9,True
2025-05-28,2,96,972,10.68,1.3,4,1,4,False
2025-05-29,1,227,303,22.75,1.24,3,5,2,True
2025-05-30,3,273,957,55.75,1.14,1,0,8,False
2025-05-31,0,240,339,44.38,1.38,1,2,6,False
2025-06-01,0,281,860,46.86,1.35,2,3,2,True
2025-06-02,0,278,447,26.26,1.45,3,4,4,True
2025-06-03,0,93,952,45.06,1.31,0,6,7,True
2025-06-04,2,144,835,42.31,1.19,1,0,9,False
2025-06-05,0,207,301,18.92,1.36,4,0,6,False
2025-06-06,3,273,880,58.43,1.31,4,2,9,False
2025-06-07,4,254,539,27.7,1.31,0,3,9,True
2025-06-08,0,269,484,26.46,1.42,0,3,5,True
2025-06-09,2,91,76,28.46,1.46,3,1,9,False
2025-06-10,2,254,632,14.59,1.09,0,3,7,True
2025-06-11,0,175,514,41.25,1.16,0,5,3,True
2025-06-12,4,134,548,21.93,1.33,0,2,5,False
2025-06-13,0,247,943,50.17,1.28,1,0,8,False
2025-06-14,2,264,658,29.71,1.33,3,0,5,False
2025-06-15,1,33,91,32.93,1.22,0,3,2,True
2025-06-16,3,35,850,42.32,1.21,0,4,5,True
2025-06-17,2,61,784,48.09,1.06,4,6,3,True
2025-06-18,0,129,465,21.56,1.31,1,5,6,True
2025-06-19,3,297,465,58.31,1.09,0,6,6,True
2025-06-20,0,38,888,41.12,1.34,1,1,7,False
2025-06-21,0,85,598,10.28,1.48,3,3,3,True
2025-06-22,1,186,39,30.78,1.13,3,5,2,True
2025-06-23,3,92,689,31.84,1.07,2,2,7,False
2025-06-24,3,131,328,50.46,1.01,4,1,3,False
2025-06-25,1,293,284,25.26,1.19,2,5,9,True
2025-06-26,2,104,946,26.56,1.11,1,3,6,True
2025-06-27,0,158,553,13.52,1.25,4,1,7,False
2025-06-28,4,58,796,24.18,1.26,0,4,3,True
2025-06-29,0,124,65,45.85,1.17,4,2,2,False
2025-06-30,0,142,635,41.74,1.37,4,3,9,True
2025-07-01,2,237,656,14.07,1.45,3,0,7,False
2025-07-02,0,80,631,15.73,1.11,2,2,9,False
2025-07-03,1,119,108,28.85,1.42,3,4,5,True
2025-07-04,1,223,414,47.19,1.07,3,5,5,True
2025-07-05,3,277,91,51.65,1.11,2,4,8,True
2025-07-06,4,24,367,10.73,1.28,3,0,6,False
2025-07-07,0,216,819,26.45,1.15,4,6,8,True
2025-07-08,0,199,422,31.21,1.02,1,2,2,False
2025-07-09,2,152,571,55.56,1.15,0,3,5,True
2025-07-10,1,272,861,35.07,1.45,0,0,9,False
2025-07-11,4,284,738,23.49,1.09,3,6,9,True
2025-07-12,3,112,239,29.5,1.38,2,3,5,True
2025-07-13,1,169,434,31.82,1.36,4,1,5,False
2025-07-14,3,157,211,43.5,1.05,3,3,4,True
2025-07-15,2,227,399,12.05,1.16,4,1,5,False
2025-07-16,2,144,609,29.47,1.09,4,3,9,True
2025-07-17,0,253,525,42.33,1.01,0,1,9,False
2025-07-18,4,80,729,24.17,1.09,1,2,4,False
2025-07-19,3,285,467,39.59,1.1,1,6,3,True
2025-07-20,1,153,169,27.86,1.08,2,4,6,True
2025-07-21,2,132,818,47.94,1.05,1,2,6,False
2025-07-22,0,210,791,13.03,1.26,3,0,7,False
2025-07-23,0,206,874,55.9,1.16,0,2,7,False
2025-07-24,3,108,209,18.58,1.45,0,2,4,False
2025-07-25,2,206,255,17.93,1.09,4,4,2,True
2025-07-26,4,151,682,52.03,1.3,3,5,7,True
2025-07-27,2,142,72,53.46,1.45,3,2,7,False
2025-07-28,3,67,146,14.65,1.02,4,0,4,False
2025-07-29,3,198,339,55.44,1.26,4,2,8,False
2025-07-30,2,199,316,23.66,1.23,0,2,5,False
2025-07-31,3,118,617,40.93,1.46,3,2,7,False
2025-08-01,2,53,605,13.43,1.33,1,6,8,True
2025-08-02,1,89,574,29.03,1.17,1,2,2,False
2025-08-03,2,190,153,32.54,1.36,0,4,8,True
2025-08-04,2,291,254,39.99,1.29,1,6,6,True
2025-08-05,3,78,350,36.26,1.17,1,4,9,True
2025-08-06,3,200,546,33.07,1.39,3,0,3,False
2025-08-07,0,38,834,57.98,1.33,3,5,3,True
2025-08-08,0,245,311,19.25,1.0,2,0,4,False
2025-08-09,1,114,807,17.9,1.43,3,0,9,False
2025-08-10,0,100,764,45.67,1.2,2,5,7,True
2025-08-11,2,194,668,13.73,1.32,3,2,4,False
2025-08-12,3,241,133,34.14,1.2,4,5,4,True
2025-08-13,0,122,947,34.2,1.44,3,3,4,True
2025-08-14,0,73,128,25.5,1.33,2,6,8,True
2025-08-15,1,202,435,56.52,1.29,1,2,6,False
2025-08-16,1,87,279,24.13,1.49,3,3,5,True
2025-08-17,2,47,357,24.42,1.14,1,0,6,False
2025-08-18,3,293,929,21.71,1.03,1,2,3,False
2025-08-19,1,138,882,17.29,1.26,3,5,9,True
2025-08-20,0,153,251,28.2,1.21,3,5,8,True
2025-08-21,3,148,134,44.04,1.23,4,6,3,True
2025-08-22,3,27,842,47.11,1.31,2,5,8,True
2025-08-23,0,70,522,50.67,1.31,3,5,3,True
2025-08-24,1,194,803,19.88,1.2,1,0,5,False
2025-08-25,0,202,659,11.78,1.43,1,4,5,True
2025-08-26,3,211,318,58.73,1.33,3,0,2,False
2025-08-27,4,268,79,10.72,1.44,2,2,5,False
2025-08-28,4,254,190,58.03,1.46,1,4,3,True
2025-08-29,2,102,452,51.44,1.08,4,5,5,True
2025-08-30,0,112,343,55.6,1.34,1,4,5,True
2025-08-31,0,287,29,29.36,1.16,2,3,5,True
2025-09-01,2,139,413,19.86,1.42,0,1,4,False
2025-09-02,2,90,870,40.32,1.37,4,4,8,True
2025-09-03,2,36,367,47.06,1.1,4,1,9,False
2025-09-04,3,272,740,16.54,1.47,0,0,7,False
2025-09-05,0,141,992,49.88,1.34,4,0,9,False
2025-09-06,3,29,595,20.43,1.47,4,4,7,True
2025-09-07,2,292,501,34.58,1.1,4,3,5,True
2025-09-08,0,229,661,52.82,1.43,1,0,4,False
2025-09-09,3,237,872,19.67,1.33,1,1,3,False
2025-09-10,3,260,700,22.09,1.28,3,4,2,True
2025-09-11,2,219,20,13.14,1.41,3,6,8,True
2025-09-12,0,235,548,17.33,1.32,1,4,8,True
2025-09-13,2,224,245,17.33,1.33,4,3,9,True
2025-09-14,0,235,282,20.17,1.13,2,4,6,True
2025-09-15,4,99,613,24.31,1.41,0,2,7,False
2025-09-16,1,286,930,50.75,1.33,3,1,2,False
2025-09-17,1,54,805,55.79,1.42,4,6,9,True
2025-09-18,1,37,231,30.31,1.18,3,5,8,True
2025-09-19,2,184,315,16.41,1.17,2,6,6,True
2025-09-20,4,32,837,21.19,1.01,4,2,7,False
2025-09-21,0,221,799,46.81,1.38,1,2,3,False
2025-09-22,3,248,335,43.87,1.17,2,1,4,False
2025-09-23,0,20,987,58.36,1.16,3,4,5,True
2025-09-24,3,236,975,10.72,1.34,4,4,4,True
2025-09-25,0,53,410,47.54,1.13,4,2,6,False
2025-09-26,4,285,244,35.29,1.45,0,5,9,True
2025-09-27,3,147,386,55.13,1.27,0,1,7,False
2025-09-28,2,231,688,38.81,1.48,0,0,5,False
2025-09-29,0,282,724,32.33,1.04,1,1,9,False
2025-09-30,0,99,357,43.29,1.17,4,5,6,True
2025-10-01,3,184,613,51.68,1.19,4,2,8,False
2025-10-02,2,271,797,24.12,1.37,3,1,6,False
2025-10-03,2,31,21,15.38,1.11,1,1,7,False
2025-10-04,4,231,18,31.65,1.19,0,6,8,True
2025-10-05,2,131,286,20.73,1.46,4,0,5,False
2025-10-06,2,230,275,31.48,1.06,0,3,2,True
2025-10-07,2,258,658,59.55,1.37,2,3,9,True
2025-10-08,1,287,897,38.71,1.35,1,0,2,False
2025-10-09,4,77,551,44.68,1.07,0,1,7,False
2025-10-10,0,53,678,43.9,1.34,1,2,7,False
2025-10-11,3,282,602,51.04,1.28,4,0,6,False
2025-10-12,0,54,71,57.21,1.14,2,3,3,True
2025-10-13,4,290,364,42.94,1.16,3,5,9,True
2025-10-14,3,246,949,33.8,1.42,2,3,4,True
2025-10-15,4,44,794,25.89,1.12,1,0,2,False
2025-10-16,2,253,334,28.01,1.26,2,1,5,False
2025-10-17,3,78,651,26.72,1.34,4,4,6,True
2025-10-18,2,270,750,26.22,1.06,1,2,4,False
2025-10-19,0,105,589,44.73,1.47,1,6,7,True
2025-10-20,0,270,198,39.39,1.13,4,4,8,True
2025-10-21,3,199,16,20.1,1.16,0,2,4,False
2025-10-22,3,226,217,58.48,1.33,3,4,6,True
2025-10-23,4,168,740,31.39,1.04,2,4,4,True
2025-10-24,4,90,851,38.3,1.31,3,2,3,False
2025-10-25,2,140,649,45.13,1.46,3,5,6,True
2025-10-26,3,272,146,40.68,1.12,4,2,7,False
2025-10-27,0,112,209,25.55,1.18,0,3,4,True
2025-10-28,4,275,669,49.89,1.12,3,1,4,False
2025-10-29,4,273,413,15.51,1.41,1,1,7,False
2025-10-30,0,78,664,38.45,1.08,0,3,2,True
2025-10-31,4,88,855,23.67,1.17,4,5,4,True
2025-11-01,2,105,329,40.79,1.3,3,4,9,True
2025-11-02,3,293,894,20.9,1.2,4,5,4,True
2025-11-03,0,246,961,48.61,1.03,2,5,8,True
2025-11-04,3,100,869,21.38,1.47,4,2,9,False
2025-11-05,4,133,351,54.52,1.17,1,0,2,False
2025-11-06,4,203,162,53.08,1.22,4,4,6,True
2025-11-07,0,299,818,28.12,1.08,0,1,8,False
2025-11-08,2,73,100,29.29,1.43,2,2,9,False
2025-11-09,1,216,326,45.08,1.15,1,3,2,True
2025-11-10,0,199,326,14.52,1.01,2,5,9,True
2025-11-11,1,241,154,14.05,1.16,1,4,5,True
2025-11-12,1,293,9,16.82,1.49,2,6,5,True
2025-11-13,2,263,352,38.12,1.07,3,0,9,False
2025-11-14,1,173,938,17.45,1.02,4,4,3,True
2025-11-15,1,292,182,23.88,1.29,0,3,4,True
2025-11-16,2,154,454,42.35,1.19,0,0,7,False
2025-11-17,1,27,645,10.78,1.4,3,4,5,True
2025-11-18,1,147,5,19.01,1.37,2,3,6,True
2025-11-19,1,75,332,56.5,1.09,4,4,6,True
2025-11-20,0,145,943,43.18,1.28,3,6,7,True
2025-11-21,0,178,332,25.28,1.02,2,2,9,False
2025-11-22,0,78,257,12.27,1.22,4,4,5,True
2025-11-23,2,77,210,39.3,1.36,2,5,2,True
2025-11-24,4,159,50,21.14,1.21,0,3,8,True
2025-11-25,1,195,444,58.01,1.06,4,1,7,False
2025-11-26,1,127,658,44.35,1.03,0,3,3,True
2025-11-27,2,230,376,58.71,1.43,0,4,8,True
2025-11-28,1,93,639,52.44,1.45,4,2,9,False
2025-11-29,0,186,485,34.15,1.17,3,1,2,False
2025-11-30,4,252,769,43.48,1.08,2,6,3,True
2025-12-01,3,201,50,50.61,1.49,4,6,7,True
2025-12-02,1,141,153,38.91,1.27,0,5,5,True
2025-12-03,0,222,581,13.07,1.24,2,3,8,True
2025-12-04,3,48,787,33.52,1.37,4,1,2,False
2025-12-05,4,221,790,16.53,1.08,3,2,5,False
2025-12-06,3,112,309,45.74,1.29,4,5,3,True
2025-12-07,0,195,398,44.03,1.45,4,0,6,False
2025-12-08,3,230,133,59.65,1.01,1,1,9,False
2025-12-09,2,203,219,41.44,1.34,2,3,7,True
2025-12-10,3,114,162,50.01,1.28,4,2,2,False
2025-12-11,1,292,970,23.41,1.48,0,6,5,True
2025-12-12,1,156,647,27.0,1.13,0,3,3,True
2025-12-13,2,256,568,55.85,1.43,1,2,6,False
2025-12-14,0,284,501,47.76,1.15,0,3,2,True
2025-12-15,1,154,945,42.76,1.21,4,6,3,True
2025-12-16,4,163,688,22.7,1.11,2,2,2,False
2025-12-17,1,38,114,44.93,1.43,1,6,2,True
2025-12-18,1,250,498,54.34,1.1,1,4,8,True
2025-12-19,0,153,471,21.54,1.43,3,6,4,True
2025-12-20,3,133,148,45.31,1.23,3,3,8,True
2025-12-21,1,158,240,29.68,1.42,2,2,9,False
2025-12-22,2,144,122,15.94,1.13,2,0,5,False
2025-12-23,3,223,803,48.17,1.07,1,6,4,True
2025-12-24,4,80,838,18.36,1.28,4,2,2,False
2025-12-25,0,269,68,22.64,1.25,4,0,3,False
2025-12-26,4,32,825,49.15,1.18,3,5,5,True
2025-12-27,3,274,62,47.11,1.33,2,1,3,False
2025-12-28,3,104,732,22.71,1.05,2,2,8,False
2025-12-29,3,39,15,57.05,1.31,4,1,3,False
2025-12-30,4,69,389,20.76,1.11,3,1,7,False
2025-12-31,3,183,589,59.68,1.06,4,4,6,True
2026-01-01,4,111,633,46.89,1.45,4,5,2,True
2026-01-02,3,107,947,29.63,1.23,1,2,3,False
2026-01-03,2,88,257,16.52,1.38,2,4,2,True
2026-01-04,3,56,216,26.03,1.04,1,5,4,True
2026-01-05,4,272,478,19.69,1.03,1,6,8,True
2026-01-06,1,271,113,41.09,1.25,4,4,7,True
2026-01-07,3,159,881,27.84,1.16,3,6,9,True
2026-01-08,1,187,972,24.75,1.0,4,1,7,False
2026-01-09,2,73,379,47.86,1.09,3,6,9,True
2026-01-10,0,197,657,21.53,1.11,2,3,9,True
2026-01-11,2,125,976,39.34,1.14,0,1,9,False
2026-01-12,3,156,236,19.73,1.44,2,5,4,True
2026-01-13,1,209,475,45.74,1.21,4,5,3,True
2026-01-14,1,147,971,41.26,1.34,3,1,9,False
2026-01-15,4,66,930,49.91,1.01,0,5,7,True
2026-01-16,1,24,597,13.42,1.41,3,0,2,False
2026-01-17,4,276,678,20.51,1.12,3,3,6,True
2026-01-18,0,169,128,17.72,1.15,0,1,5,False
2026-01-19,3,262,509,19.53,1.02,0,3,8,True
2026-01-20,4,294,164,15.15,1.2,2,0,4,False
2026-01-21,0,227,276,38.1,1.43,1,6,9,True
2026-01-22,1,134,256,39.67,1.19,0,3,8,True
2026-01-23,1,214,131,52.17,1.45,1,2,8,False
2026-01-24,0,189,991,30.89,1.43,1,0,9,False
2026-01-25,1,101,569,36.62,1.03,1,3,4,True
2026-01-26,0,173,256,59.57,1.15,1,4,6,True
2026-01-27,4,160,140,36.59,1.46,0,3,3,True
2026-01-28,4,165,685,38.68,1.01,3,6,9,True
2026-01-29,0,141,686,59.8,1.38,0,0,4,False
2026-01-30,4,271,208,59.71,1.45,0,4,4,True
2026-01-31,4,108,715,31.2,1.39,4,5,5,True
2026-02-01,4,77,518,41.75,1.37,4,3,6,True
2026-02-02,2,82,50,34.04,1.42,2,6,6,True
2026-02-03,3,299,502,46.04,1.33,1,3,2,True
2026-02-04,1,91,258,56.92,1.21,1,0,6,False
2026-02-05,2,28,177,25.48,1.03,4,4,7,True
2026-02-06,4,113,921,50.94,1.39,3,4,5,True
2026-02-07,0,171,542,42.74,1.45,2,3,7,True
2026-02-08,4,59,355,24.01,1.26,3,5,6,True
2026-02-09,3,81,317,49.86,1.27,4,6,2,True
2026-02-10,4,273,665,31.36,1.2,3,2,5,False
2026-02-11,0,88,962,16.02,1.43,1,0,4,False
2026-02-12,3,264,363,59.67,1.01,4,0,9,False
2026-02-13,4,189,54,31.28,1.31,3,1,3,False
2026-02-14,3,197,155,37.08,1.45,2,4,4,True
2026-02-15,1,208,43,50.4,1.05,2,4,2,True
2026-02-16,1,279,592,58.04,1.48,0,1,5,False
2026-02-17,4,91,677,53.64,1.48,4,3,4,True
2026-02-18,3,36,541,36.25,1.46,4,3,9,True
2026-02-19,0,76,321,37.28,1.23,4,0,2,False
2026-02-20,4,237,647,24.04,1.19,1,3,7,True
2026-02-21,1,126,13,33.14,1.35,1,2,8,False
2026-02-22,1,192,356,57.34,1.16,4,2,4,False
2026-02-23,4,238,482,46.35,1.03,3,2,8,False
2026-02-24,3,266,617,10.59,1.45,1,1,3,False
2026-02-25,1,237,358,15.83,1.32,4,5,7,True
2026-02-26,3,50,317,56.19,1.1,1,6,4,True
2026-02-27,1,66,74,52.44,1.01,0,2,4,False
2026-02-28,1,153,958,34.31,1.36,2,1,4,False
2026-03-01,2,127,590,40.85,1.43,0,0,2,False
2026-03-02,1,91,193,24.48,1.2,4,0,5,False
2026-03-03,0,127,996,49.64,1.04,2,5,6,True
2026-03-04,4,291,362,40.17,1.32,3,2,2,False
2026-03-05,4,190,95,44.74,1.15,4,1,7,False
2026-03-06,3,135,39,28.75,1.07,3,2,8,False
2026-03-07,1,93,767,31.52,1.26,3,5,6,True
2026-03-08,0,275,396,20.38,1.24,1,5,8,True
2026-03-09,3,100,106,57.4,1.26,1,3,7,True
2026-03-10,2,287,16,57.33,1.41,2,1,6,False
2026-03-11,3,147,526,50.89,1.24,2,1,4,False
2026-03-12,3,254,928,56.78,1.45,1,1,7,False
2026-03-13,1,60,783,43.27,1.42,2,1,3,False
2026-03-14,2,200,498,21.73,1.33,0,3,6,True
2026-03-15,3,176,524,48.01,1.03,4,6,7,True
2026-03-16,0,78,758,26.26,1.43,0,2,9,False
2026-03-17,0,268,725,32.02,1.45,4,0,7,False
2026-03-18,4,211,662,23.72,1.19,1,5,6,True
2026-03-19,2,43,803,31.18,1.26,0,4,4,True
2026-03-20,2,99,42,43.97,1.14,3,4,9,True
2026-03-21,4,153,945,15.53,1.01,0,1,3,False
2026-03-22,3,232,625,15.26,1.24,2,1,8,False
2026-03-23,2,185,841,44.19,1.06,0,0,4,False
2026-03-24,0,90,592,48.98,1.09,1,4,8,True
2026-03-25,0,233,349,37.57,1.24,1,1,6,False
2026-03-26,1,84,652,19.08,1.43,2,5,7,True
2026-03-27,2,240,29,31.54,1.42,4,5,9,True
2026-03-28,3,204,440,47.91,1.48,2,6,2,True
2026-03-29,4,226,541,44.29,1.24,4,3,8,True
2026-03-30,4,118,454,15.49,1.28,1,4,7,True
2026-03-31,3,261,777,58.46,1.41,1,3,8,True
2026-04-01,1,177,610,21.17,1.35,4,0,9,False
2026-04-02,4,117,961,21.02,1.09,0,0,8,False
2026-04-03,2,61,93,32.99,1.2,0,6,6,True
2026-04-04,1,158,722,26.36,1.46,2,4,2,True
2026-04-05,2,246,294,59.2,1.07,1,5,9,True
2026-04-06,0,91,548,13.82,1.1,0,2,5,False
2026-04-07,1,262,898,25.32,1.2,1,4,3,True
2026-04-08,4,37,88,29.14,1.47,2,3,7,True
2026-04-09,1,96,929,34.67,1.06,3,2,8,False
2026-04-10,1,64,502,10.82,1.34,1,6,8,True
2026-04-11,1,159,766,14.12,1.07,3,3,5,True
2026-04-12,1,196,213,22.89,1.26,1,3,9,True
2026-04-13,2,241,421,37.7,1.27,4,3,9,True
2026-04-14,0,111,525,48.39,1.02,3,1,4,False
2026-04-15,3,41,191,44.32,1.48,4,2,6,False
2026-04-16,1,191,806,38.35,1.4,4,1,9,False
2026-04-17,4,111,693,29.86,1.15,2,1,5,False
2026-04-18,1,211,641,53.53,1.07,2,3,3,True
2026-04-19,4,96,223,32.99,1.17,0,0,2,False
2026-04-20,2,198,554,24.96,1.45,3,5,2,True
2026-04-21,4,257,692,41.47,1.07,0,4,4,True
2026-04-22,3,154,386,44.61,1.17,3,0,9,False
